canonical_id,canonical_kind,profile,zone,rarity_tag,minutes_per_unit,nyra_per_minute,bundle_qty,price_nyra,confidence,icon_path
BASIC:stick,basic,basic_gather,1,common,0.01,0.75,1,0.01,v0.1_model,Icons/ItemsGenerated/Ingredient_Stick.png
BASIC:tree_sap,basic,basic_gather,1,common,0.01,0.75,1,0.01,v0.1_model,Icons/ItemsGenerated/Ingredient_Tree_Sap.png
BASIC:venom_sac,basic,basic_gather,1,common,0.01,0.75,1,0.01,v0.1_model,Icons/ItemsGenerated/Ingredient_Sac_Venom.png
BASIC:voidheart,basic,basic_gather,1,common,0.01,0.75,1,0.01,v0.1_model,Icons/ItemsGenerated/Ingredient_Voidheart.png
CLOTH:cinder_cloth,cloth,cloth_processing,2,uncommon,0.015,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Ingredient_Fabric_Scrap_Cindercloth.png
CLOTH:cotton,cloth,cloth_processing,1,common,0.015,0.75,1,0.01,v0.1_model,Icons/ItemsGenerated/Ingredient_Bolt_Cotton.png
CLOTH:linen_scraps,cloth,cloth_processing,1,common,0.015,0.75,1,0.01,v0.1_model,Icons/ItemsGenerated/Ingredient_Fabric_Scrap_Linen.png
CLOTH:scraps,cloth,cloth_processing,3,rare,0.015,0.75,1,0.03,v0.1_model,
CLOTH:shadow_weave,cloth,cloth_processing,3,rare,0.015,0.75,1,0.03,v0.1_model,Icons/ItemsGenerated/Ingredient_Fabric_Scrap_Shadoweave.png
CLOTH:silk,cloth,cloth_processing,3,rare,0.015,0.75,1,0.03,v0.1_model,Icons/ItemsGenerated/Ingredient_Bolt_Silk.png
CLOTH:wool,cloth,cloth_processing,2,uncommon,0.015,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Ingredient_Bolt_Wool_White.png
CROP:apple,crop,crop,1,common,0.012,0.75,1000,9.0,v0.1_model,
CROP:berries,crop,crop,1,common,0.012,0.75,1000,9.0,v0.1_model,
CROP:berry,crop,crop,1,common,0.012,0.75,1000,9.0,v0.1_model,Icons/ItemsGenerated/Plant_Fruit_Berries_Red.png
CROP:carrot,crop,crop,1,common,0.012,0.75,1000,9.0,v0.1_model,Icons/ItemsGenerated/Plant_Crop_Carrot.png
CROP:potato,crop,crop,1,common,0.012,0.75,1000,9.0,v0.1_model,Icons/ItemsGenerated/Plant_Crop_Potato.png
CROP:wheat,crop,crop,1,common,0.012,0.75,1000,9.0,v0.1_model,Icons/ItemsGenerated/Plant_Crop_Wheat.png
CRYSTAL:blue,crystal,crystal,4,very_rare,0.04,0.75,1,0.14,v0.1_model,Icons/ItemsGenerated/Ingredient_Crystal_Fragments_Blue.png
CRYSTAL:cyan,crystal,crystal,4,very_rare,0.04,0.75,1,0.14,v0.1_model,Icons/ItemsGenerated/Ingredient_Crystal_Fragments_Cyan.png
CRYSTAL:green,crystal,crystal,4,very_rare,0.04,0.75,1,0.14,v0.1_model,Icons/ItemsGenerated/Ingredient_Crystal_Fragments_Green.png
CRYSTAL:purple,crystal,crystal,4,very_rare,0.04,0.75,1,0.14,v0.1_model,Icons/ItemsGenerated/Ingredient_Crystal_Fragments_Purple.png
CRYSTAL:red,crystal,crystal,4,very_rare,0.04,0.75,1,0.14,v0.1_model,Icons/ItemsGenerated/Ingredient_Crystal_Fragments_Red.png
CRYSTAL:white,crystal,crystal,4,very_rare,0.04,0.75,1,0.14,v0.1_model,Icons/ItemsGenerated/Ingredient_Crystal_Fragments_White.png
CRYSTAL:yellow,crystal,crystal,4,very_rare,0.04,0.75,1,0.14,v0.1_model,Icons/ItemsGenerated/Ingredient_Crystal_Fragments_Yellow.png
GEM:diamond,gem,gem,4,very_rare,0.05,0.75,1,0.17,v0.1_model,Icons/ItemsGenerated/Rock_Gem_Diamond.png
GEM:emerald,gem,gem,4,very_rare,0.05,0.75,1,0.17,v0.1_model,Icons/ItemsGenerated/Rock_Gem_Emerald.png
GEM:ruby,gem,gem,4,very_rare,0.05,0.75,1,0.17,v0.1_model,Icons/ItemsGenerated/Rock_Gem_Ruby.png
GEM:sapphire,gem,gem,4,very_rare,0.05,0.75,1,0.17,v0.1_model,Icons/ItemsGenerated/Rock_Gem_Sapphire.png
HIDE:generic,hide,hide_drop,1,,0.06,0.75,1,0.04,v0.1_model,
HIDE:heavy,hide,hide_drop_t3,2,rare,0.07,0.75,1,0.11,v0.1_model,Icons/ItemsGenerated/Ingredient_Hide_Heavy.png
HIDE:light,hide,hide_drop_t1,1,uncommon,0.03,0.75,1,0.03,v0.1_model,Icons/ItemsGenerated/Ingredient_Hide_Light.png
HIDE:medium,hide,hide_drop_t2,2,uncommon,0.05,0.75,1,0.06,v0.1_model,Icons/ItemsGenerated/Ingredient_Hide_Medium.png
HIDE:prism,hide,hide_drop_prism,4,very_rare,0.15,0.75,1,0.52,v0.1_model,Icons/ItemsGenerated/Ingredient_Hide_Prismic.png
HIDE:storm,hide,hide_drop_storm,3,rare,0.1,0.75,1,0.19,v0.1_model,Icons/ItemsGenerated/Ingredient_Hide_Storm.png
LEATHER:generic,leather,leather_processing,1,,0.02,0.75,1,0.01,v0.1_model,
LEATHER:heavy,leather,leather_processing,2,rare,0.02,0.75,1,0.03,v0.1_model,Icons/ItemsGenerated/Ingredient_Leather_Heavy.png
LEATHER:light,leather,leather_processing,1,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Ingredient_Leather_Light.png
LEATHER:medium,leather,leather_processing,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Ingredient_Leather_Medium.png
LEATHER:prism,leather,leather_processing,4,very_rare,0.02,0.75,1,0.07,v0.1_model,Icons/ItemsGenerated/Ingredient_Leather_Prismic.png
LEATHER:storm,leather,leather_processing,3,rare,0.02,0.75,1,0.04,v0.1_model,Icons/ItemsGenerated/Ingredient_Leather_Storm.png
MASS:basalt,mass,mass_block,1,very_common,0.002,0.75,1000,1.2,v0.1_model,Icons/ItemsGenerated/Rock_Basalt.png
MASS:marble,mass,mass_block,1,very_common,0.002,0.75,1000,1.2,v0.1_model,Icons/ItemsGenerated/Rock_Marble.png
MASS:shale,mass,mass_block,1,very_common,0.002,0.75,1000,1.2,v0.1_model,Icons/ItemsGenerated/Rock_Shale.png
MASS:slate,mass,mass_block,1,very_common,0.002,0.75,1000,1.2,v0.1_model,Icons/ItemsGenerated/Rock_Slate.png
MASS:stone,mass,mass_block,1,common,0.002,0.75,1000,1.5,v0.1_model,Icons/ItemsGenerated/Rock_Stone.png
MASS:volcanic,mass,mass_block,1,very_common,0.002,0.75,1000,1.2,v0.1_model,Icons/ItemsGenerated/Rock_Volcanic.png
ORE_MATERIAL:adamantite,ore_material,ore_t4,3,very_rare,0.18,0.75,100,45.36,v0.1_model,Icons/ItemsGenerated/Ore_Adamantite.png
ORE_MATERIAL:cobalt,ore_material,ore_t3,3,rare,0.12,0.75,100,23.04,v0.1_model,Icons/ItemsGenerated/Ore_Cobalt.png
ORE_MATERIAL:copper,ore_material,ore_t1,1,common,0.05,0.75,100,3.75,v0.1_model,Icons/ItemsGenerated/Ore_Copper.png
ORE_MATERIAL:gold,ore_material,ore_t3,3,rare,0.12,0.75,100,23.04,v0.1_model,Icons/ItemsGenerated/Ore_Gold.png
ORE_MATERIAL:iron,ore_material,ore_t1,1,common,0.05,0.75,100,3.75,v0.1_model,Icons/ItemsGenerated/Ore_Iron.png
ORE_MATERIAL:silver,ore_material,ore_t2,2,uncommon,0.08,0.75,100,9.38,v0.1_model,Icons/ItemsGenerated/Ore_Silver.png
ORE_MATERIAL:thorium,ore_material,ore_t2,2,uncommon,0.08,0.75,100,9.38,v0.1_model,Icons/ItemsGenerated/Ore_Thorium.png
POTION:Endgame_Potion_Mana,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Mana.png
POTION:Endgame_Potion_Mana_Large,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Mana_Large.png
POTION:Endgame_Potion_Mana_Small,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Mana_Small.png
POTION:Endgame_Potion_Regen_Mana_Large,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Regen_Mana_Large.png
POTION:Endgame_Potion_Regen_Mana_Small,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Regen_Mana_Small.png
POTION:Furniture_Royal_Magic_Potion_Glow,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Furniture_Royal_Magic_Potion_Glow.png
POTION:Potion_Antidote,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Weapon_Bomb_Potion_Poison.png
POTION:Potion_Empty,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Empty.png
POTION:Potion_Health,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Health.png
POTION:Potion_Health_Greater,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Health.png
POTION:Potion_Health_Large,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Health_Large.png
POTION:Potion_Health_Lesser,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Health_Small.png
POTION:Potion_Purify,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Purify.png
POTION:Potion_Regen_Health,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Regen_Health.png
POTION:Potion_Regen_Health_Large,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Regen_Health_Large.png
POTION:Potion_Regen_Stamina_Large,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Regen_Stamina_Large.png
POTION:Potion_Signature_Greater,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Regen_Mana.png
POTION:Potion_Signature_Lesser,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Regen_Mana_Small.png
POTION:Potion_Stamina_Greater,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Stamina.png
POTION:Potion_Stamina_Lesser,potion,potion,2,uncommon,0.02,0.75,1,0.02,v0.1_model,Icons/ItemsGenerated/Potion_Stamina_Small.png
RESOURCE:wood,resource,wood_basic,1,common,0.01,0.75,1,0.01,v0.1_model,Icons/ItemsGenerated/Ingredient_Tree_Bark.png
