canonical_id,canonical_kind,profile,zone,rarity_tag,minutes_per_unit,bundle_qty,price_nyra,calc,recipe_key,missing_inputs,override_note
LEATHER:heavy,leather,leather_processing,2,rare,0.02,1,0.21,bom_v0.3,Armor_Leather_Heavy_Chest,Ingredient_Bolt_Wool,
LEATHER:light,leather,leather_processing,1,uncommon,0.02,1,0.14,bom_v0.3,Armor_Leather_Light_Chest,Ingredient_Bolt_Wool,
LEATHER:medium,leather,leather_processing,2,uncommon,0.02,1,0.17,bom_v0.3,Armor_Leather_Medium_Chest,Ingredient_Bolt_Wool,
LEATHER:prism,leather,leather_processing,4,very_rare,0.02,1,0.57,bom_v0.3,Ingredient_Leather_Prismic,,
LEATHER:storm,leather,leather_processing,3,rare,0.02,1,0.21,bom_v0.3,Ingredient_Leather_Storm,,
MASS:basalt,mass,mass_block,1,very_common,0.002,1000,1.2,model_v0.3,,,
MASS:marble,mass,mass_block,1,very_common,0.002,1000,1.2,model_v0.3,,,
MASS:shale,mass,mass_block,1,very_common,0.002,1000,1.2,model_v0.3,,,
MASS:slate,mass,mass_block,1,very_common,0.002,1000,1.2,model_v0.3,,,
MASS:stone,mass,mass_block,1,very_common,0.002,1000,1.2,model_v0.3,,,
MASS:volcanic,mass,mass_block,1,very_common,0.002,1000,1.2,model_v0.3,,,
ORE_ITEM:Ore_Onyxium,boss_drop_ore,boss_floor,4,mythic,,100,90.0,floor_v0.3,,,
ORE_ITEM:Ore_Prisma,boss_drop_ore,boss_floor,4,mythic,,100,140.0,floor_v0.3,,,
ORE_MATERIAL:adamantite,ore_material,ore_t4,3,very_rare,0.47619047619047616,100,120.0,model_v0.3,,,
ORE_MATERIAL:cobalt,ore_material,ore_t3,3,rare,0.12,100,23.04,model_v0.3,,,
ORE_MATERIAL:copper,ore_material,ore_t1,1,common,0.16361886429258904,100,12.27,model_v0.3,,,
ORE_MATERIAL:gold,ore_material,ore_t3,3,rare,0.12,100,23.04,model_v0.3,,,
ORE_MATERIAL:iron,ore_material,ore_t1,1,common,0.16361886429258904,100,12.27,model_v0.3,,,
ORE_MATERIAL:mithril,ore_material,endgame_mithril,4,very_rare,0.25,100,86.63,model_v0.3,,,
ORE_MATERIAL:onyxium,ore_material,endgame_onyxium,4,mythic,0.35,100,161.7,model_v0.3,,,
ORE_MATERIAL:prisma,ore_material,endgame_prisma,4,mythic,0.5,100,231.0,model_v0.3,,,
ORE_MATERIAL:silver,ore_material,ore_t2,2,uncommon,17.5,100,2050.78,model_v0.3,,,
ORE_MATERIAL:thorium,ore_material,ore_t2,2,uncommon,17.5,100,2050.78,model_v0.3,,,
RESOURCE:Salvage_Wood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_All,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Blackwood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Blackwood_Deadwood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Blackwood_Trunk,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Darkwood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Darkwood_Trunk,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Deadwood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Deadwood_Trunk,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Drywood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Drywood_Goldenwood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Drywood_Trunk,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Goldenwood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Goldenwood_Trunk,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Greenwood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Greenwood_Trunk,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Hardwood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Hardwood_Trunk,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Lightwood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Lightwood_Softwood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Lightwood_Trunk,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Planks,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Redwood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Redwood_Trunk,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Softwood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Softwood_Trunk,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Tropicalwood,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Tropicalwood_Trunk,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
RESOURCE:Wood_Trunk,resource,wood_basic,1,common,0.01,1,0.01,model_v0.3,,,
